,ID,logL_agn,logL_ir,logL_ir_elow,logL_ir_eup,ul
10,199,44.36904825,45.835,0,0,0
11,213,44.24373111,45.785,0,0,0
12,215,44.36904825,45.265,0,0,0
13,222,44.36904825,45.275,0,0,0
14,240,44.87712916,45.795,0,0,0
15,277,44.7491119,45.785,0,0,0
16,301,44.49505906,45.995,0,0,0
17,310,44.36904825,45.225,0,0,0
18,440,44.7491119,45.685,0,0,0
19,443,44.62175084,45.435,0,0,0
20,450,44.7491119,45.505,0,0,0
0,486,44.87712916,45.775,0.03,0.03,1
21,522,44.62175084,45.415,0,0,0
22,620,45.13507256,45.305,0,0,0
1,633,44.7491119,45.735,0.02,0.02,1
23,663,44.49505906,45.435,0,0,0
25,cid1127,45.65813356,45.075,0,0,0
30,cid1144,45.65813356,45.225,0,0,0
27,cid1215,45.65813356,45.045,0,0,0
8,cid127,46.05610896,45.665,0.08,0.08,1
7,cid21,46.05610896,45.085,0.22,0.22,1
26,cid351,46.3238053,45.205,0,0,0
5,cid352,46.3238053,44.995,0.04,0.04,1
2,cid451,46.3238053,44.725,0.19,0.19,1
4,cid458,46.18973462,44.855,0.18,0.18,1
29,cid466,45.52651659,45.025,0,0,0
24,cid580,46.18973462,45.395,0,0,0
35,cid62,46.18973462,46.065,0,0,0
3,cid659,45.52651659,44.875,0.12,0.12,1
28,cid72,46.3238053,45.435,0,0,0
31,cid86,45.9229515,45.045,0,0,0
9,cid89,46.05610896,46.275,0.05,0.05,1
33,cid90,46.05610896,45.695,0,0,0
6,cid914,45.52651659,45.185,0.18,0.18,1
34,cid94,46.3238053,45.845,0,0,0
32,cid954,45.79028543,45.415,0,0,0
