,ID,logL_agn,logL_ir,logL_ir_elow1,logL_ir_eup1,ul,S850Frac,logL_ir_elow,logL_ir_eup
0,,47.07,46.33,0.73,0.11,1,0.039426523,0.017469409,0.016793795
1,,46.96,45.89,0.74,0.11,1,0.090909091,0.041392685,0.037788561
2,,47.17,45.99,0.73,0.11,1,0.06870229,0.030911465,0.02885674
3,,47.15,45.37,0,0,0,0,0,0
4,,47.16,45.23,0.74,0.11,1,0.28125,0.143422142,0.107633878
5,,47.02,46.77,0.74,0.11,1,0.012784091,0.005587855,0.005516871
6,,47.1,45.77,0.74,0.11,1,0.099009901,0.045279981,0.041001605
7,,47.31,45.27,0.74,0.11,1,0.166666667,0.079181246,0.06694679
8,,47.41,45.52,0.74,0.11,1,0.15625,0.073786214,0.063051746
9,,47.27,46.28,0.73,0.11,1,0.042016807,0.01864211,0.017874724
10,,46.99,45.87,0.74,0.11,1,0.072164948,0.032529225,0.030261605
11,,47.51,45.79,0.73,0.11,1,0.064748201,0.029071448,0.027246915
12,,46.98,45.43,0.73,0.11,1,0.163636364,0.077604858,0.065817284
13,,47.22,45.83,0.73,0.11,1,0.127659574,0.059314001,0.052178012
14,,47.34,45.14,0.74,0.11,1,0.264705882,0.133538908,0.101989539
15,,46.98,45.93,0.73,0.11,1,0.081081081,0.036722807,0.033858267
16,,47.2,45.85,0.73,0.11,1,0.081632653,0.036983566,0.03407979
17,,47.67,45.31,0,0,0,0.28,0.142667504,0.10720997
18,,47.07,46.01,0.74,0.11,1,0.068027211,0.030596768,0.028582318
19,,46.92,46,0.74,0.11,1,0.082089552,0.037199687,0.034263204
