,ID,logSFR,logSFR_elow,logSFR_eup,ul,z,SFR
0,J002025,2.425433134,0.140272291,0.208484788,1,2.018471,266.338
1,J222247,1.782787839,0.187275426,0.336421971,0,2.92664,60.644
2,J090000,2.73744869,0.137626453,0.202635939,1,2.985881,546.322
3,J085847,3.061742666,0.096293555,0.123913247,1,2.159405,1152.77
4,J085823,3.028420362,0.071882007,0.086186148,1,2.855966,1067.629
5,J101112,2.487730706,0.24454864,0.612783857,0,2.469348,307.419
6,J095112,2.670668806,0.162308123,0.262125611,0,2.374143,468.456
7,J091247,2.8334187,0.10221714,0.133930662,1,2.87573,681.426
8,J091047,3.119798089,0.104886646,0.138567593,1,3.29219,1317.644
9,J111312,2.486647218,0.215516975,0.446777238,0,2.247038,306.653
10,J083247,3.52936387,0.029289376,0.031408464,1,2.423938,3383.482
11,J082136,2.351943108,0.152610163,0.237360916,0,3.114784,224.876
12,J081935,2.876379516,0.077412223,0.094269917,1,3.200204,752.28
13,J111935,2.513723538,0.150049457,0.231138825,0,2.393236,326.38
14,J113159,2.562098876,0.147201694,0.224364323,0,2.91563,364.837
15,J005228,2.864121109,0.067140628,0.079452765,1,2.450515,492.153
16,J122647,2.66059135,0.228385761,0.511369099,1,2.622279,457.711
17,J123136,2.712186544,0.129201784,0.184744985,1,3.146968,515.45
18,J124800,2.546094566,0.208856065,0.417418362,0,2.785399,351.637
19,J095423,3.253627035,0.028577233,0.03059094,1,3.398926,3474.481
20,J135600,2.365326967,0.143765594,0.216385854,1,2.337173,498.64
21,J141823,2.766593518,0.02698349,0.028771743,1,2.520465,1805.167
22,J215711,2.899702341,0.163096439,0.264227348,0,2.035,355.945
23,J210824,2.762755815,0.131948778,0.190460207,1,2.348147,1329.807
24,J212335,2.288050147,0.16946068,0.28172484,0,2.233398,254.903
25,J233447,3.181816444,0.008389723,0.008554994,1,3.326056,1986.806
26,J005814,2.544798286,0.085088145,0.105923788,1,2.51976,350.589
27,J005202,2.253994283,0.227029262,0.503993401,0,2.269,179.471
28,J010611,3.067755809,0.035327962,0.038458252,1,3.121,1168.842
29,J010226,3.089700274,0.055625214,0.063811076,1,2.53,1229.42
