,ID,logSFR,logSFR_e,ul,z
0,SDSSJ020950.71-000506.4,3.30103,0,1,2.856
1,SDSSJ073502.30+265911.5,2.968483,0,1,1.982
2,SDSSJ074521.78+473436.1,3.2552724,0,1,3.225
3,SDSSJ080117.79+521034.5,3.4313638,0,1,3.263
4,SDSSJ081855.77+095848.0,3.3222194,0,1,3.694
5,SDSSJ090033.50+421547.0,2.9590414,0,1,3.294
6,SDSSJ092819.29+534024.1,3.6532125,0,1,4.39
7,SDSSJ101549.00+002020.0,3.1139433,0,1,4.4
8,SDSSJ121549.81-003432.1,3.20412,0,1,2.707
9,SDSSJ123714.60+064759.5,3.3424227,0,1,2.781
10,SDSSJ143352.20+022713.9,3.30103,0,1,4.62
11,SDSSJ170100.60+641209.3,3.2552724,0,1,2.737
12,SDSSJ212329.46-005052.9,2.690196,0,1,2.283
13,SDSSJ234625.66-001600.4,3.20412,0,1,3.512
14,SDSSJ012403.77+004432.6,3.146128,0,0,3.84
15,SDSSJ125005.72+263107.5,2.612784,0,0,2.044
