,ID,logSFR,logSFR_e,z,ul,SFR
0,J0807,3.068185862,0,4.874,1,1170
1,J1404,3.292034436,0,4.88,1,1959
2,J1433,3.101059355,0,4.721,1,1262
3,J1616,3.125806458,0,4.872,1,1336
4,J1654,2.890979597,0,4.73,1,778
5,J2225,3.324899497,0,4.886,1,2113
6,J0331,2.889861721,0,4.729,1,776
7,J1341,3.464042205,0,4.689,1,2911
8,J1511,3.256477206,0,4.67,1,1805
9,J1017,2.383815366,0,4.917,1,242
10,J1151,2.127104798,0,4.698,1,134
11,J1321,2.414973348,0,4.716,1,260
12,J1447,1.278753601,0,4.686,0,19
13,J2057,2.522444234,0,4.663,1,333
14,J2244,2.738780558,0,4.657,1,548
15,J0923,2.687528961,0,4.659,1,487
16,J1328,2.440909082,0,4.658,1,276
17,J0935,2.416640507,0,4.671,1,261
