,ID,logSFR,logSFR_elow1,logSFR_eup1,ul,z,SFR,SFR_elow,SFR_eup,S850Frac,logSFR_elow,logSFR_eup
0,SDSS J1149+0151,2.742725131,2.653212514,2.187520721,1,2.066,553,450,154,0.039426523,0.017469409,0.016793795
1,SDSS J1201?0016,2.307496038,2.220108088,1.755874856,1,1.993,203,166,57,0.090909091,0.041392685,0.037788561
2,SDSS J1220+0004,2.399673721,2.311753861,1.84509804,1,2.048,251,205,70,0.06870229,0.030911465,0.02885674
3,SDSS J1225+0206,1.785329835,0,0,0,2.026,61,0,0,0,0,0
4,SDSS J1228+0522,1.643452676,1.556302501,1.079181246,1,2.021,44,36,12,0.28125,0.143422142,0.107633878
5,SDSS J1236+0500,3.180125875,3.093071306,2.629409599,1,1.941,1514,1239,426,0.012784091,0.005587855,0.005516871
6,SDSS J1242+1419,2.178976947,2.093421685,1.633468456,1,1.973,151,124,43,0.099009901,0.045279981,0.041001605
7,SDSS J1252+0527,1.69019608,1.602059991,1.146128036,1,1.903,49,40,14,0.166666667,0.079181246,0.06694679
8,SDSS J1252+1426,1.934498451,1.84509804,1.380211242,1,1.938,86,70,24,0.15625,0.073786214,0.063051746
9,SDSS J1341?0208,2.691081492,2.602059991,2.136720567,1,2.095,491,400,137,0.042016807,0.01864211,0.017874724
10,SDSS J1408?0114,2.285557309,2.198657087,1.73239376,1,1.945,193,158,54,0.072164948,0.032529225,0.030261605
11,SDSS J1431+0535,2.206825876,2.117271296,1.653212514,1,2.095,161,131,45,0.064748201,0.029071448,0.027246915
12,SDSS J1446+0512,1.84509804,1.755874856,1.301029996,1,2.082,70,57,20,0.163636364,0.077604858,0.065817284
13,SDSS J1451+0529,2.247973266,2.158362492,1.698970004,1,2.053,177,144,50,0.127659574,0.059314001,0.052178012
14,SDSS J1457+0247,1.556302501,1.462397998,1,1,1.976,36,29,10,0.264705882,0.133538908,0.101989539
15,SDSS J1509+0244,2.344392274,2.257678575,1.792391689,1,2.047,221,181,62,0.081081081,0.036722807,0.033858267
16,SDSS J2246?0049,2.264817823,2.176091259,1.707570176,1,2.038,184,150,51,0.081632653,0.036983566,0.03407979
17,SDSS J2313+0034,1.73239376,0,0,0,2.087,54,0,0,0.28,0.142667504,0.10720997
18,SDSS J2317?1033,2.428134794,2.340444115,1.875061263,1,2.004,268,219,75,0.068027211,0.030596768,0.028582318
19,SDSS J2345?1104,2.409933123,2.322219295,1.857332496,1,1.948,257,210,72,0.082089552,0.037199687,0.034263204
